platform,country,region,language,category,hashtag,title_keywords,author_handle,sound_type,music_track,week_of_year,duration_sec,views,likes,comments,shares,saves,engagement_rate,trend_label,source_hint,notes,device_type,upload_hour,genre,trend_duration_days,trend_type,engagement_velocity,dislikes,comment_ratio,share_rate,save_rate,like_dislike_ratio,publish_dayofweek,publish_period,event_season,tags,sample_comments,creator_avg_views,creator_tier,season,publish_date_approx,year_month,title,title_length,has_emoji,avg_watch_time_sec,completion_rate,device_brand,traffic_source,is_weekend,row_id,engagement_total,like_rate,dislike_rate,engagement_per_1k,engagement_like_rate,engagement_comment_rate,engagement_share_rate
TikTok,Fr,Europe,fr,DIY,#Coding,My Favorite College Apps,MusicByYoussef,trending,Woodshop groove,1,59,808842,48714,4590,4756,3055,0.075559,rising,Open Web Samples,subtitles,iOS,1,Tech,18,Medium,44935.67,2020,0.005675,0.00588,0.003777,24.103909,Friday,Night,Regular,"tutorial, tools, apps, tech",Incroyable !,127261.5,Mid,Spring,1/3/2025,2025-01,Build This in 10 Minutes,24,0,48.5,0.822,Samsung,ForYou,1,216bd146eb0d1abfadc77c42b243c6e8,61115,0.060227,0.002497,75.559,0.060226843,0.005674779,0.005880011
TikTok,In,Asia,hi,Travel,#FYP,Best Settings for Minecraft,ProSofia,original,Waves & bells,1,13,721155,62777,8235,4912,11902,0.121785,seasonal,TikTok Creative Center,storytime,Android,23,Gaming,6,Short,120192.5,2653,0.011419,0.006811,0.016504,23.65373,Friday,Night,SummerBreak,"highlights, gaming, clips, fps, valorant",So underrated!,80481.8,Mid,Summer,1/3/2025,2025-01,Pro Tips for Fortnite in 60s ðŸŽ®,30,1,10.2,0.785,Samsung,ForYou,1,2680c0ca33a907023ccce42bd273f882,87826,0.087051,0.003679,121.785,0.087050634,0.011419182,0.006811296
YouTube,Id,Asia,id,Automotive,#FYP,Morning Routine â€” Budget,FitnessWithFatma,original,Engine rev,1,27,527421,17552,1540,2086,1114,0.042266,seasonal,TikTok Creative Center,hook in 2s,Android,17,Sports,14,Medium,37672.93,797,0.00292,0.003955,0.002112,21.994987,Friday,Evening,SummerBreak,"gym, sports, football, workout",Thanks for this!,114256.7,Mid,Summer,1/3/2025,2025-01,Workout you canâ€™t skip,22,0,18.8,0.696,Huawei,Suggested,1,1f9f9491ced7ac7e3dbef93f64738db7,22292,0.033279,0.001511,42.266,0.033278918,0.002919869,0.003955095
YouTube,In,Asia,hi,Education,#Fashion,How to style Summer,Youssef,trending,Soft focus,1,52,805234,39064,4006,2656,4836,0.062792,stable,Public Reports,hook in 2s,Android,11,Fashion,50,Evergreen,16104.68,1745,0.004975,0.003298,0.006006,22.373425,Thursday,Morning,Regular,"ootd, style, fashion, grwm",So underrated!,118319.2,Mid,Winter,1/2/2025,2025-01,Outfits for Office,18,0,22.8,0.438,Huawei,Home,0,e57de3c56eed41bdc029456b267fa821,50562,0.048513,0.002167,62.792,0.048512606,0.004974951,0.00329842
TikTok,Sa,Asia,ar,Finance,#Music,Perfect â€” Cover,OfficialSara,trending,Subtle groove,1,54,954031,65932,10365,5379,6668,0.092601,seasonal,TikTok Creative Center,hook in 2s,Android,17,Music,35,Evergreen,27258.03,3270,0.010864,0.005638,0.006989,20.156527,Friday,Evening,Regular,"cover, music, beat, song",Ø´Ø±Ø­ Ù…Ù…ØªØ§Ø² ðŸ‘,92630.9,Mid,Winter,1/3/2025,2025-01,Underrated artists to hear ðŸŽµ,28,1,35.3,0.654,Samsung,ForYou,1,38a05a26727fe998cceaea28f52c21df,88344,0.069109,0.003428,92.601,0.069108865,0.010864427,0.005638182
TikTok,Jp,Asia,ja,Education,#GRWM,GRWM: Budget Edition,MrOmar,original,Chalkboard beat,1,15,1131937,83672,7426,9833,5312,0.093859,declining,TikTok Creative Center,text-to-speech,Android,20,Fashion,16,Medium,70746.06,2844,0.00656,0.008687,0.004693,29.410193,Sunday,Evening,Regular,"fashion, grwm, ootd, style",å‚è€ƒã«ãªã‚Šã¾ã—ãŸï¼,127501.8,Mid,Spring,1/5/2025,2025-01,Outfits for Summer,18,0,12.5,0.833,Samsung,Following,1,1c7152d86e29cb9f615c70acd3fcfe5c,106243,0.073919,0.002513,93.859,0.073919308,0.006560436,0.008686879
YouTube,Mx,North America,es,Tech,#FYP,Best Settings for GTA V,OliviaPro,licensed,Circuit synth,1,29,1865088,57192,8621,4244,4786,0.040128,rising,TikTok Creative Center,b-roll heavy,iOS,15,Gaming,4,Short,466272,5516,0.004622,0.002275,0.002566,10.366504,Friday,Afternoon,Regular,"highlights, gaming, clips, esports",No puedo parar de mirar ðŸ˜‚,122780.7,Mid,Fall,1/3/2025,2025-01,Insane Minecraft Highlights!,28,0,13.7,0.472,Samsung,Suggested,1,12c23f698d081f03dc9093c14d523263,74843,0.030665,0.002958,40.128,0.030664505,0.004622302,0.002275496
YouTube,Ma,Africa,ar,Travel,#Relatable,When your friend is Budget,MusicByOlivia,original,City stroll,1,43,788546,28710,2104,2220,2265,0.044765,stable,TikTok Creative Center,fast captions,Android,20,Comedy,12,Medium,65712.17,997,0.002668,0.002815,0.002872,28.767535,Friday,Evening,Regular,"comedy, relatable, funny",ØªØ­ÙØ© Ø¨ØµØ±Ø§Ø­Ø©!,83485.9,Mid,Winter,1/3/2025,2025-01,When your friend is 2025,24,0,22.4,0.521,Samsung,Suggested,1,ef240ef5c126739c28130da6a00ebd69,35299,0.036409,0.001264,44.765,0.036408783,0.002668202,0.002815308
TikTok,Ru,Europe,ru,Food,#Fashion,Outfits for College,OmarVlogs,original,Street vibe,1,29,797995,41174,4125,3022,2928,0.064222,seasonal,TikTok Creative Center,jumpcut edits,Android,18,Fashion,11,Medium,72545,966,0.005169,0.003787,0.003669,42.579111,Friday,Evening,Regular,"grwm, ootd, fashion",Canâ€™t stop watching ðŸ˜‚,96938.3,Mid,Spring,1/3/2025,2025-01,How to style Bold,17,0,17.4,0.6,Oppo,Search,1,1af8833403728c5ea913e308fe718dc1,51249,0.051597,0.001211,64.222,0.051596815,0.005169205,0.003786991
TikTok,Ca,North America,en,Education,#AI,Build This in 10 Minutes,MasterOmar,trending,Calm piano,1,33,658900,46407,4442,3846,10419,0.098822,stable,Public Reports,storytime,Android,19,Tech,6,Short,109816.67,1970,0.006742,0.005837,0.015813,23.544901,Friday,Evening,Regular,"tools, apps, tutorial, ai",This is fire ðŸ”¥,113807.9,Mid,Fall,1/3/2025,2025-01,Build This in 10 Minutes ðŸ“±,26,1,23.7,0.718,Samsung,ForYou,1,551c291320fee7611aeae87d7c64a0db,65114,0.070431,0.00299,98.822,0.070431021,0.006741539,0.005837001
